Weapon Type	Weapon Name	Aura Strenth	Caster Level	Price	Weight	Description	Construction
Dagger	Assassin's Dagger	moderate necromancy	9th	10,302 gp	1 lb	This wicked-looking, curved +2 dagger provides a +1 bonus to the DC of a Fortitude save forced by the death attack of an assassin	Craft Magic Arms and Armor, slay living; Cost 5,302 gp
Dagger	Dagger of Venom	faint necromancy	5th	8,302 gp	1 lb	This black +1 dagger has a serrated edge. It allows the wielder to use a poison effect (as the spell, save DC 14) upon a creature struck by the blade once per day. The wielder can decide to use the power after he has struck. Doing so is a free action, but the poison effect must be invoked in the same round that the dagger strikes.	Craft Magic Arms and Armor, poison; Cost 4,302 gp
Warhammer	Dwarven Thrower	moderate evocation	10th	60,312 gp	5 lbs	This weapon functions as a +2 warhammer in the hands of most users. Yet in the hands of a dwarf, the warhammer gains an additional +1 enhancement bonus (for a total enhancement bonus of +3) and gains the returning special ability. It can be hurled with a 30-foot range increment. When hurled, adwarven thrower deals an extra 2d8 points of damage against creatures of the giant subtype or an extra 1d8 points of damage against any other target.	Craft Magic Arms and Armor, creator must be a dwarf of at least 10th level; Cost 30,312 gp
Longsword	Flame Tounge	strong evocation	12th	20,715 gp	4 lbs	This is a +1 flaming burst longsword. Once per day, the sword can blast forth a fiery ray at any target within 30 feet as a ranged touch attack. The ray deals 4d6 points of fire damage on a successful hit.	Craft Magic Arms and Armor, scorching ray and fireball, flame blade, or flame strike; Cost 10,515 gp
Greatsword	Frost Brand	strong evocation	14th	54,475 gp	8 lbs	This +3 frost greatsword sheds light as a torch when the temperature drops below 0° F. At such times it cannot be concealed when drawn, nor can its light be shut off. Its wielder is protected from fire; the sword absorbs the first 10 points of fire damage each round that the wielder would otherwise take. A frost brand extinguishes all nonmagical fires in a 20-foot radius. As a standard action, it can also dispel lasting fire spells, but not instantaneous effects. You must succeed on a dispel check (1d20 +14) against each spell to dispel it. The DC to dispel such spells is 11 + the caster level of the fire spell.	Craft Magic Arms and Armor, ice storm, dispel magic, protection from energy; Cost 27,375 gp and 5 sp
Longsword	Holy Advenger	strong abjuration	18th	120,630 gp	4 lbs	This +2 cold iron longsword becomes a +5 holy cold iron longsword in the hands of a paladin. This sacred weapon provides spell resistance of 5 + the paladin's level to the wielder and anyone adjacent to her. It also enables the paladin to usegreater dispel magic (once per round as a standard action) at the class level of the paladin. Only the area dispel is possible, not the targeted dispel or counterspell versions of greater dispel magic.	Craft Magic Arms and Armor, holy aura, creator must be good; Cost 60,630 gp
Javelin	Javlen of Lightning	faint evocation	5th	1,500 gp	2 lbs	This javelin becomes a 5d6 lightning bolt when thrown (Reflex DC 14 half). It is consumed in the attack.	Craft Magic Arms and Armor, lightning bolt; Cost 750 gp
Greatsword	Life-Drinker	strong necromancy	13th	40,320 gp	12 lbs	This +1 greataxe is favored by undead and constructs, who do not suffer its drawback. A life-drinker bestows two negative levels on its target whenever it deals damage, just as if its target had been struck by an undead creature. One day after being struck, subjects must make a DC 16 Fortitude save for each negative level or the negative levels become permanent. Each time a life-drinker deals damage to a foe, it also bestows one negative level on the wielder. Any negative levels gained by the wielder in this fashion lasts for 1 hour.	Craft Magic Arms and Armor, enervation; Cost 20,320 gp
Longsword	Longsword, Cold Iron Masterwork	-	-	330 gp	4 lbs	This nonmagical longsword is crafted out of cold iron. As a masterwork weapon, it has a +1 enhancement bonus on attack rolls	-
Short sword	Luck Blade	strong evocation	17th	22,060 gp (0 wishes), 62,360 gp (1 wish), 102,660 gp (2 wishes), 142,960 gp (3 wishes)	2 lbs	This +2 short sword gives its possessor a +1 luck bonus on all saving throws. Its possessor also gains the power of good fortune, usable once per day. This extraordinary ability allows its possessor to reroll one roll that she just made, before the results are revealed. She must take the result of the reroll, even if it's worse than the original roll. In addition, a luck blade may contain up to three wishes (when randomly rolled, a luck blade holds 1d4–1 wishes, minimum 0). When the last wish is used, the sword remains a +2 short sword, still grants the +1 luck bonus, and still grants its reroll power	Craft Magic Arms and Armor, wish or miracle; Cost 11,185 gp (0 wishes), 43,835 gp (1 wish), 76,485 gp (2 wishes), 109,135 gp (3 wishes).
Mace, heavy	Mace of Smiting	moderate transmutation	8th	75,312 gp	11 lbs	This +3 adamantine heavy mace has a +5 enhancement bonus against constructs, and a successful critical hit dealt to a construct completely destroys the construct (no saving throw). A critical hit dealt to an outsider deals ×4 damage rather than ×2.	Craft Magic Arms and Armor, disintegrate; Cost 39,312 gp
Mace, heavy	Mace of Terror	strong necromancy	13th	38,552 gp	8 lbs	This weapon usually appears to be a particularly frightening-looking iron or steel mace. On command, this +2 heavy mace causes the wielder's clothes and appearance to transform into an illusion of darkest horror such that living creatures in a 30-foot cone become panicked as if by a fear spell (Will DC 16 partial). Those who fail take a –2 morale penalty on saving throws, and they flee from the wielder. The wielder may use this ability up to three times per day.	Craft Magic Arms and Armor, fear; Cost 19,432 gp
Longsword	Nine Lives Stealer	strong necromancy [evil]	13th	23,057 gp	4 lbs	This longsword always performs as a +2 longsword, but it also has the power to draw the life force from an opponent. It can do this nine times before the ability is lost. At that point, the sword becomes a simple +2 longsword (with a faint evil aura). A critical hit must be dealt for the sword's death-dealing ability to function, and this weapon has no effect on creatures not subject to critical hits. The victim is entitled to a DC 20 Fortitude save to avoid death. If the save is successful, the sword's death-dealing ability does not function, no use of the ability is expended, and normal critical damage is determined. This sword is evil, and any good character attempting to wield it gains two negative levels. These negative levels remain as long as the sword is in hand and disappear when the sword is no longer wielded. These negative levels never result in actual level loss, but they cannot be overcome in any way (including restoration spells) while the sword is wielded.	Craft Magic Arms and Armor, finger of death; Cost 11,528 gp 5 sp.
Longbow, composite	Oathbow	strong evocation	15th	25,600 gp	3 lbs	Of elven make, this white +2 composite longbow (+2 Str bonus) whispers, “Swift defeat to my enemies” in Elven when nocked and pulled. Once per day, if the archer swears aloud to slay her target (a free action), the bow's whisper becomes the shout “Death to those who have wronged me!” Against such a sworn enemy, the bow has a +5 enhancement bonus, and arrows launched from it deal an additional 2d6 points of damage (and ×4 on a critical hit instead of the normal ×3). After an enemy has been sworn, the bow is treated as only a masterwork weapon against all foes other than the sworn enemy, and the archer takes a –1 penalty on attack rolls with any weapon other than the oathbow. These bonuses and penalties last for 7 days or until the sworn enemy is slain or destroyed by the wielder of the oathbow, whichever comes first. The oathbow may only have one sworn enemy at a time. Once the wielder swears to slay a target, he cannot make a new oath until he has slain that target or 7 days have passed. Even if the wielder slays the sworn enemy on the same day that he makes the oath, he cannot activate the oathbow'sspecial power again until 24 hours have passed from the time he made the oath.	Craft Magic Arms and Armor, creator must be an elf; Cost 13,100 gp
Rapier	Rapier of Puncturing	strong necromancy	13th	50,320 g	2 lbs	Three times per day, this +2 wounding rapier allows the wielder to make a touch attack with the weapon that deals 1d6 points of Constitution damage by draining blood. Creatures immune to critical hits are immune to the Constitution damage dealt by this weapon.	Craft Magic Arms and Armor, harm; Cost 25,320 gp
Bolts, crossbow (10)	Screaming Bolt	faint enchantment	5th	267 gp	1/10 lb	These +2 bolts scream when fired, forcing all enemies of the wielder within 20 feet of the path of the bolt to succeed on a DC 14 Will save or becomeshaken. This is a mind-affecting fear effect.	Craft Magic Arms and Armor, doom; Cost 137 gp
Longsword	Shatterspike	strong evocation	13th	4,315 gp	4 lbs	This intimidating weapon appears to be a longsword with multiple hooks, barbs, and serrations along the blade, excellent for catching and sundering a foe's weapon. Wielders without the Improved Sunder feat use a shatterspike as a +1 longsword only. Wielders with the Improved Sunder feat instead useshatterspike as a +4 longsword when attempting to sunder an opponent's weapon. Shatterspike can damage weapons with an enhancement bonus of +4 or lower.	Str 13, Craft Magic Arms and Armor, Improved Sunder, Power Attack, shatter; Cost 2,315 gp
Sword, two-bladed	Shifter's Sorrow	strong transmutation	15th	12,780 gp	10 lbs	This +1/+1 two-bladed sword has blades of alchemical silver. The weapon deals an extra 2d6 points of damage against any creature with the shapechanger subtype. When a shapechanger or a creature in an alternate form (such as a druid using wild shape) is struck by the weapon, it must make a DC 15 Will save or return to its natural form.	Craft Magic Arms and Armor, baleful polymorph; Cost 6,780 gp
Dagger	Silver Dagger, Masterwork	-	-	322 gp	1 lbs	As a masterwork weapon, this alchemical silver dagger has a +1 enhancement bonus on attack rolls (but not to damage rolls).	-
Arrows (20)	Slaying Arrow	strong necromancy	13th	2,282 gp (slaying arrow) or 4,057 gp (greater slaying arrow)	1/10 lb	This +1 arrow is keyed to a particular type or subtype of creature. If it strikes such a creature, the target must make a DC 20 Fortitude save or take 50 points of damage. Note that even creatures normally exempt from Fortitude saves (undead and constructs) are subject to this attack. When keyed to a living creature, this is a death effect (and thus death ward protects a target). To determine the type or subtype of creature the arrow is keyed to, roll on the table below.	Craft Magic Arms and Armor, finger of death (slaying arrow) or heightened finger of death (greater slaying arrow); Cost 1,144 gp 5 sp (slaying arrow) or 2,032 gp (greater slaying arrow) d%        Designated Type or Subtype 01–05        Aberrations 06–09        Animals 10–16        Constructs 17–27        Dragons 28–32        Fey 33        Humanoids, aquatic 34–35        Humanoids, dwarf 36–37        Humanoids, elf 38–44        Humanoids, giant 45        Humanoids, gnoll 46        Humanoids, gnome 47–49        Humanoids, goblinoid 50        Humanoids, halfling 51–54        Humanoids, human 55–57        Humanoids, reptilian 58–60        Humanoids, orc 61–65        Magical beasts 66–70        Monstrous humanoids 71–72        Oozes 73        Outsiders, air 74–76        Outsiders, chaotic 77        Outsiders, earth 78–80        Outsiders, evil 81        Outsiders, fire 82–84        Outsiders, good 85–87        Outsiders, lawful 88        Outsiders, water 89–90        Plants 91–98        Undead 99–100        Vermin 
Arrows (20)	Sleep Arrow	faint enchantment	5th	132 gp	1/10 lb	This +1 arrow is painted white and has white fletching. If it strikes a foe so that it would normally deal damage, it instead bursts into magical energy that deals nonlethal damage (in the same amount as would lethal damage) and forces the target to make a DC 11 Will save or fall asleep.	Craft Magic Arms and Armor, sleep; Cost 70 gp
Short sword	Sun Blade	moderate evocation	10th	50,335 gp	2 lbs	This sword is the size of a bastard sword. However, a sun blade is wielded as if it were a short sword with respect to weight and ease of use. In other words, the weapon appears to all viewers to be a bastard sword, and deals bastard sword damage, but the wielder feels and reacts as if the weapon were a short sword. Any individual able to use either a bastard sword or a short sword with proficiency is proficient in the use of a sun blade. Likewise,Weapon Focus and Weapon Specialization in short sword and bastard sword apply equally, but the benefits of those feats do not stack. In normal combat, the glowing golden blade of the weapon is equal to a +2 bastard sword. Against evil creatures, its enhancement bonus is +4. Against Negative Energy Plane creatures or undead creatures, the sword deals double damage (and ×3 on a critical hit instead of the usual ×2). The blade also has a special sunlight power. Once per day, the wielder can swing the blade vigorously above his head while speaking a command word. The sun blade then sheds a bright yellow radiance that acts like bright light and affects creatures susceptible to light as if it were natural sunlight. The radiance begins shining in a 10-foot radius around the sword wielder and extends outward at 5 feet per round for 10 rounds thereafter, to create a globe of light with a 60-foot radius. When the wielder stops swinging, the radiance fades to a dim glow that persists for another minute before disappearing entirely. All sun blades are of good alignment, and any evil creature attempting to wield one gains one negative level. The negative level remains as long as the sword is in hand and disappears when the sword is no longer wielded. This negative level cannot be overcome in any way (including by restorationspells) while the sword is wielded.	Craft Magic Arms and Armor, daylight, creator must be good; Cost 25,335 gp
Longsword	Sword of Lifestealing	strong necromancy	17th	25,715 gp	4 lbs	This black iron +2 longsword bestows a negative level when it deals a critical hit. The sword wielder gains 1d6 temporary hit points each time a negative level is bestowed on another. These temporary hit points last for 24 hours. One day after being struck, subjects must make a DC 16 Fortitude save for each negative level gained or they become permanent.	Craft Magic Arms and Armor, enervation; Cost 13,015 gp
Longsword	Sword of the Planes	strong evocation	15th	22,315 gp	4 lbs	This longsword has an enhancement bonus of +1 on the Material Plane, but on any Elemental Plane its enhancement bonus increases to +2. The +2 enhancement bonus also applies whenever the weapon is used against creatures native to the Elemental Plane. It operates as a +3 longsword on the Astral Plane and the Ethereal Plane, or when used against opponents native to either of those planes. On any other plane, or against any outsider, it functions as a +4 longsword.	Craft Magic Arms and Armor, plane shift; Cost 11,315 gp
Short sword	Sword of Subtlety	moderate illusion	7th	22,310 gp	2 lbs	A +1 short sword with a thin, dull gray blade, this weapon provides a +4 bonus on its wielder's attack and damage rolls when he is making a sneak attack with it.	Craft Magic Arms and Armor, blur; Cost 11,310 gp
Scimitar	Sylvan Scimitar	moderate evocation	11th	47,315 gp	4 lbs	This +3 scimitar, when used outdoors in a temperate climate, grants its wielder the use of the Cleave feat and deals an extra 1d6 points of damage.	Craft Magic Arms and Armor, divine power or creator must be a 7th-level druid; Cost 23,815 gp
Trident	Trident of Fish Command	moderate enchantment	7th	18,650 gp	4 lbs	The magical properties of this +1 trident with a 6-foot-long haft enable its wielder to charm up to 14 HD of aquatic animals as per the spell charm animals(Will DC 16 negates, animals get a +5 bonus if currently under attack by the wielder or his allies), no two of which can be more than 30 feet apart. The wielder can use this effect up to three times per day. The wielder can communicate with the animals as if using a speak with animals spell. Animals making their saving throws are free of control, but they will not approach within 10 feet of the trident.	Craft Magic Arms and Armor, charm animals, speak with animals; Cost 9,482 gp and 5 sp
Trident	Trident of Warning	moderate divination	7th	10,115 gp	4 lbs	A weapon of this type enables its wielder to determine the location, depth, kind, and number of aquatic predators within 680 feet. A trident of warningmust be grasped and pointed in order for the character using it to gain such information, and it requires 1 round to scan a hemisphere with a radius of 680 feet. The weapon is otherwise a +2 trident.	Craft Magic Arms and Armor, locate creature; Cost 5,215 gp
