Item	Cost	Weight
Musical instrument, masterwork	100 gp	3 lbs.
Scale, merchant's	2 gp	1 lb.
Spell component pouch	5 gp	2 lbs.
Spellbook, wizard's (blank)	15 gp	3 lbs.
Thieves' tools	30 gp	1 lb.
Thieves' tools, masterwork	100 gp	2 lbs.
Tool, masterwork	50 gp	1 lb.
Artisan's outfit	1 gp	4 lbs.
Cleric's vestments	5 gp	6 lbs.
Cold-weather outfit	8 gp	7 lbs.
Courtier's outfit	30 gp	6 lbs.
Entertainer's outfit	3 gp	4 lbs.
Explorer's outfit	10 gp	8 lbs.
Monk's outfit	5 gp	2 lbs.
Noble's outfit	75 gp	10 lbs.
Peasant's outfit	1 sp	2 lbs.
Royal outfit	200 gp	15 lbs.
Scholar's outfit	5 gp	6 lbs.
Traveler's outfit	1 gp	5 lbs.
Ale, Gallon	2 sp	8 lbs.
Ale, Mug	4 cp	1 lb.
Banquet (per person)	10 gp	-
Bread, loaf of	2 cp	1/2 lb.
Cheese, hunk of	1 sp	1/2 lb.
Inn stay (per day), Good	2 gp	-
Inn stay (per day), Common	5 sp	-
Inn stay (per day), Poor	2 sp	-
Meals (per day), Good	5 sp	-
Meals (per day), Common	3 sp	-
Meals (per day), Poor	1 sp	-
Meat, chunk of	3 sp	1/2 lb.
Wine, Common (pitcher)	2 sp	6 lbs.
Wine, Fine (bottle)	10 gp	1-1/2 lbs.
Barding, Medium creature	x22	x12
Barding, Large creature	x42	x22
Barding, Bit and bridle	2 gp	1 lb.
Dog, guard	25 gp	-
Dog, riding	150 gp	-
Donkey or mule	8 gp	-
Feed (per day)	5 cp	10 lbs.
Horse, heavy	200 gp	-
Horse, heavy (combat trained)	300 gp	-
Horse, light	75 gp	-
Horse, light(combat trained)	110 gp	-
Pony	30 gp	-
Pony (combat trained)	45 gp	-
Saddle, Military	20 gp	30 lbs.
Saddle, Pack	5 gp	15 lbs.
Saddle, Riding	10 gp	25 lbs.
Saddle, Exotic - Military	60 gp	40 lbs.
Saddle, Exotic - Pack	15 gp	20 lbs.
Saddle, Exotic - Riding	30 gp	30 lbs.
Saddlebags	4 gp	8 lbs.
Stabling (per day)	5 sp	-
Carriage	100 gp	600 lbs.
Cart	15 gp	200 lbs.
Galley	30,000 gp	-
Keelboat	3,000 gp	-
Longship	10,000 gp	-
Rowboat	50 gp	100 lbs.
Oar	2 gp	10 lbs.
Sailing ship	10,000 gp	-
Sled	20 gp	300 lbs.
Wagon	35 gp	400 lbs.
Warship	25,000 gp	-
Coach cab	3 cp per mile	-
Hireling, trained	3 sp per day	-
Hireling, untrained	1 sp per day	-
Messenger	2 cp per mile	-
Road or gate toll	1 cp	-
Ship's passage	1 sp per mile	-
Spellcasting	Caster level x spell level x 10 gp	-
