Name	Aura	Caster Level	Slot	Price	Weight	Description	Construction
Clamor Box	moderate illusion	10th	-	2,000 gp	2 lbs	This delicate tin music box can produce a great volume of noise at a specific time determined by its owner. Four command words determine what sorts of sounds it is to play (battle, fire, massacre, or riot), and a fifth determines the delay (anywhere from 1 round to 20 minutes) until the box begins to produce the desired sound. The noise from the box is as loud as 40 people. The sound persists for 2d6 rounds.	Craft Wondrous Item, ghost sound; Cost 1,000 gp
Construct Channel Brick	moderate transmutation	7th	-	10,000 gp	1 lb	This solid red brick changes its shape to match its bearer's holy symbol. If the bearer has the channel energy class feature, she can focus her power on the brick, allowing her to repair damaged constructs and objects as if they were living creatures. The item works whether the bearer channels positive or negative energy. If the bearer has the artifice domain, she adds +2d6 points of damage to her channel energy result when repairing constructs and objects.	Craft Wondrous Item, make whole; Cost 5,000 gp
Cowardly Crouching Cloak	faint abjuration	1st	shoulders	1,800 gp	4 lbs	This nondescript gray cloak has a hood that can fit over the wearer's entire face. The wearer can, as a move action, cover his face and drop to a huddling crouch. Any creature seeking to directly attack him while he does this must make a DC 11 Will save to do so (as the sanctuary spell). The wearer cannot see or take any actions while crouching. This makes him effectively blind, with all the normal penalties, but not helpless. The wearer can end his crouch simply by standing up or moving.	Craft Wondrous Item, sanctuary; Cost 900 gp
Crystal of Healing Hands	moderate conjuration (healing)	10th	neck	12,000 gp	1 lb	A simple cotton cord holds this glittering prism in place. A person with the lay on hands class feature can direct one use of this energy into the crystal, which stores it until the wearer speaks a command word to release it. Releasing the energy targets the wearer with the stored lay on hands effect, as if touched by the person who infused the crystal with its power. The crystal can contain a single use of the lay on hands class feature. When filled with this magic, it begins to glow with a pearly white light. The wearer of the crystal can order it to release its energy as a standard action. This acts identically to receiving the lay on hands directly from the person who channeled it into the crystal, including any mercies they had at the time.	Craft Wondrous Item, cure light wounds, creator must be a paladin; Cost 6,000 gp
Defoliant Polish	faint transmutation	5th	-	800 gp	-	This container of sickly gray paste can coat the armor of one Medium or two Small creatures. Affected objects produce dark gray fumes for the next 24 hours. These fumes cause natural plants to wilt and diminish as soon as they come into contact with the affected armor. This allows the wearer to move through terrain made difficult due to the presence of vegetation as if it were normal terrain, though the creature leaves a clear path of ruined vegetation. In addition, creatures belonging to the plant type that target someone protected by defoliant polish with a natural attack or grapple take 1 point of damage with each successful attack.	Craft Wondrous Item, diminish plants; Cost 400 gp
Doomharp	faint necromancy	4th	-	10,000 gp	5 lbs	Made from bone and sun-dried sinew, this masterwork harp produces a vague sense of unease in anyone near it. If the owner of this item has the bardic performance class feature he can use it to perform a dirge of doom even if he is not of sufficient level to normally have access to that ability. A bard who can use dirge of doom and who plays the harp as part of his performance increases the effective radius to 60 feet.	Craft Wondrous Item, cause fear; Cost 5,000 gp
Dust of Emulation	faint illusion	1st	-	800 gp	-	A creature coated with this glittering golden dust can interact with any one item or object as if she had successfully used the Use Magic Device skill to emulate a class feature or race (if the exact result of the check matters, treat the character's result as a 25). If the user of the dust does not mentally select the intended item or object while coating herself with the dust, the magic of the dust applies to the first eligible object she encounters. She can apply the result of this automatic check when dealing with the item or object for 1 hour after exposure to the dust.	Craft Wondrous Item, disguise self; Cost 400 gp
Flying Ointment	moderate transmutation	9th	-	2,250 gp	-	This preparation of herbs includes belladonna, mandrake, and foxglove (also known as “witch's glove”) in a base of rendered fats. When rubbed over the skin, the ointment grants the subject the ability to fly (as the overland flight spell) for up to 9 hours.	Craft Wondrous Item, overland flight; Cost 1,125 gp
Gloves of Dueling	faint transmutation	5th	Hands	15,000 gp	-	These supple leather gloves grant the wearer gains a +4 bonus to his CMD against disarm attacks, attempts to sunder his wielded weapons, and effects that cause him to lose his grip on his weapons (such as grease). The wearer doesn't drop held weapons when panicked or stunned. If the wearer has the weapon training class feature and is using an appropriate weapon, his weapon training bonus increases by +2	Craft Wondrous Item, greater magic weapon; Cost 7,500 gp
Glowing Glove	faint universal	1st	Hands	2,000 gp	-	The wearer of this slender white leather glove may, as a standard action, press it against any surface or object and cause a luminous handprint to appear. This print glows with any color the wearer wishes, sheds light as a candle, and is easily visible from a distance of up to 60 feet. These handprints last for 1 day before fading away. The glowing handprint matches the wearer's hand in terms of size, position of fingers, and so on.	Craft Wondrous Item, arcane mark; Cost 1,000 gp
Grappler's Mask	faint transmutation	1st	Head	5,000 gp	2 lbs	This mask, fashioned from dark leather, also covers the back of the wearer's head and neck and drapes over his shoulders and upper arms, leaving only his mouth, nose, and eyes uncovered. The wearer may attempt bull rushes and grapples without provoking attacks of opportunity.	Craft Wondrous Item, bull's strength, cat's grace, expeditious retreat; Cost 2,500 gp
Helm of Fearsome Mien	faint necromancy	1st	Head	5,000 gp	4 lbs	This metal helm is made to look like the wearer has horns, tusks, and other features resembling a fearsome predator. If the wearer is a barbarian, she can use the intimidating glare rage power whenever she rages. The helm has no effect if the wearer is not a barbarian (or another class with the rage class feature).	Craft Wondrous Item, cause fear; Cost 2,500 gp
Horn of Antagonism	faint enchantment	3rd	-	20,000 gp	4 lbs	Carved from the bone of some giant beast, this large horn emits an eerie, heart-lurching moan when sounded. A person with the favored enemy class feature may blow the horn as a standard action to daze one type of favored enemy within 90 feet for 1d4 rounds (DC 13 Will save negates). Creatures suffer a penalty on this save equal to the ranger's favored enemy bonus against that type of creature. This is a sonic, mind-affecting effect; creatures that cannot hear the horn are immune to its magic. The horn's magic works once per day	Craft Wondrous Item, daze monster; Cost 10,000 gp
Horn of the Huntmaster	moderate enchantment	11th	-	5,000 gp	5 lbs	This elongated horn curves sharply at the end, almost making it seem more like an enormous pipe than a tool for the hunt. Once each day, a person with the hunter's bond (companions) class feature may blow the horn as a standard action; this grants his full favored enemy bonus (instead of half) against a single target to all allies within 30 feet who can see and hear him. The effect lasts for 1 minute	Craft Wondrous Item, greater heroism; Cost 2,500 gp
Ioun Torch	strong universal	12th	-	75 gp	-	This item is merely a burned out, dull gray ioun stone with a continual flame spell cast upon it. It retains the ability to float and orbit, and allows the bearer to carry light and still have his hands free. It may be in any crystalline shape common to ioun stones(ellipsoid, prism, sphere, and so on).	Craft Wondrous Item, continual flame, creator must be 12th level; Cost 62 gp, 5 sp
Key of Lock Jamming	faint abjuration	1st	-	400 gp	1/2 lb	This ornate brass key automatically reshapes itself to fit any standard keyhole (generally those in doors scaled for use by Small or Medium creatures, not deliberately oversized locks like the main door to a dwarven fortress). Once placed inside a lock, the key merges with the lock and fills up all open spaces within it, creating a solid piece of metal and making it impossible to unlock it, even with magic. While securing the lock, the key strengthens its materials, adding +2 to the lock's hardness, 8 to its hit points, and +5 to its Break DC. Touching the key and speaking the command word causes the key to disintegrate, leaving the lock intact and rendering the mechanism operable again.	Craft Wondrous Item, hold portal; Cost 200 gp
Ki mat	moderate conjuration (healing)	7th	-	10,000 gp	3 lbs	This humble pad of woven river reeds allows its owner to recover his mental fortitude and ki pool by practicing breathing exercises and other forms of meditation. Each hour its owner spends sitting on the mat without taking any other action, he can attempt to center himself by making a Wisdom check with a DC of 10 plus the monk's current number of ki points (note that ability checks, like skill checks, do not automatically succeed on a 20). If the check is successful, the monk regains 1 ki point.	Craft Wondrous Item, lesser restoration, creator must be a monk; Cost 5,000 gp
Knight's Pennon	moderate abjuration or transmutation	6th	-	4,500 gp (battle), 2,200 gp (honor), 4,500 (parley)	1 lb	This narrow cloth flag is made to attach to the end a knight's lance, though it can be flown from a spear, polearm, or even a staff. It has no effect if not mounted appropriately. A knight's pennon grants different benefits depending on its color and design.  Battle: The red knight's pennon of battle allows its bearer to benefit from heroism once per day.  Honor: The gold knight's pennon of honor bestows protection from evil upon the bearer once per day.  Parley: The white knight's pennon of parley, when displayed approaching a negotiation, grants the bearer a +4 enhancement bonus on Bluff, Diplomacy, Intimidate, and Sense Motive checks for 1 hour, so long as the bearer does not initiate any hostile action.	Craft Wondrous Item, heroism (battle), protection from evil (honor), eagle's splendor (parley); Cost 2,250 gp (battle), 1,100 gp (honor), 2,250 (parley)
Lords Banner	moderate (various schools)	10th	-	100,000 gp (crusades), 10,000 gp (swiftness), 56,000 gp (terror), 75,000 gp (victory)	3 lbs	A lord's banner is a cloth flag or standard, typically at least 2 feet wide and 4 feet long (though some are up to twice that size), meant to be carried and displayed on a lance, polearm, frame, or staff. It has no effect when not mounted properly or when laying on the ground. It normally depicts the insignia or heraldic symbol of a particular noble.  A lord's banner may be carried (on foot or mounted) or planted. In the latter case, the banner does not need a bearer, but if it is toppled or touched by an enemy, it loses its effectiveness until reclaimed and replanted by allies of its owner.  Crusades: A noble-looking lord's banner of crusades emits a hallow effect in a 40-foot radius around it, so long as it is borne by one true to the religion of the person whose crest is on the banner (these sorts of banners usually have a holy symbol or other religious insignia worked into the design). The banner displays the faith's holy symbol along with the owner's crest.  Swiftness: A group or army that are traveling under a lord's banner of swiftness can make a forced march without needing Constitution checks or suffering any nonlethal damage from doing so, allowing them to cover great distances while still arriving ready to do battle. This ability affects all allied creatures within 1 mile as long as they are able to see the banner at least once a day.  Terror: Enemies of the bearer of a lord's banner of terror, while within 30 feet and able to see the banner, must make a Will saving throw (DC 16) or become panicked, fleeing as quickly as possible for as long as they can see the banner. Those that succeed on the save are shaken. A creature that makes its saving throw cannot be panicked by the banner for 1 day.  Victory: Allies of the owner of a lord's banner of victory gain a +2 morale bonus on attack rolls, saves, and skill checks for as long as they can see the banner.	Craft Wondrous Item, eagle's splendor (leadership), hallow (crusades), freedom of movement (swiftness), fear (terror), heroism (victory); Cost 50,000 gp (crusades), 5,000 gp (swiftness), 28,000 gp (terror), 37,500 gp (victory)
Manacles of Cooperation	faint enchantment (charm)	1st	wrist	2,000 gp	2 lbs	These tight iron cuffs can fit over the wrists of any Large or smaller humanoid. When placed on a helpless humanoid, they make the captive more docile and compliant. The prisoner never attempts to escape of its own volition and agrees to any reasonable request unless it makes a DC 11 Will saving throw	Craft Wondrous Item, charm person; Cost 1,000 gp
Mask of Giants	moderate transmutation (lesser), strong transmutation (greater)	6th (lesser), 13th (greater)	head	30,000 gp (lesser), 90,000 gp (greater)	1 lb	This wooden mask depicts a leering humanoid with an oversized nose and ears. If the wearer has the wild shape class feature, the mask allows her to use wild shape to take the form of a humanoid with the giant subtype. The forms allowed by a lesser mask of giants are ogre, troll, fire giant, frost giant, or stone giant. If the form has any of the following abilities, the wearer gains the listed ability: darkvision 60 feet, low-light vision, scent. In giant form, the wearer gains a +4 size bonus to Strength, a –2 penalty to Dexterity, and a +1 natural armor bonus.  A greater mask of giants has all the powers of a lesser mask, plus additional abilities in giant form. If the form has any of the following abilities, the wearer gains the listed ability: rend (2d6 damage), regeneration 5 (acid or fire), rock catching, rock throwing (range 60 feet, 2d6 damage). If the chosen giant form has immunity or resistance to any energy type, the wearer gains resistance 20 to that energy type when in giant form. If the giant form has vulnerability to an energy type, the wearer gains that vulnerability when in giant form. In giant form, the wearer gains a +6 size bonus to Strength, a –2 penalty to Dexterity, a +4 size bonus to Constitution, and a +4 natural armor bonus.	Craft Wondrous Item, giant form I; Cost 15,000 gp (lesser), 45,000 gp (greater)
Moon Circlet	strong evocation	15th	headband	20,000 gp	-	This fine silver circlet typically has a carved moonstone inset on the front or a crescent moon design. The wearer of a moon circlet gains darkvision out to 60 feet (if she does not already possess it). Its other effects only benefit a wearer capable of casting arcane spells.  During the waxing moon, the wearer's caster level is considered one higher for purposes of caster level checks and spell effects; during the three nights of the full moon, this benefit increases to two levels higher than normal. However, this additional power comes with a price. During the waning moon, the wearer's caster level is considered one lower for purposes of caster level checks and spell effects, and during the three nights of the new moon, this penalty increases to two levels lower.  Removing a moon circlet imposes 2 negative levels on the wearer until the next full moon (or until the circlet is worn again, whichever comes first). These negative levels cannot be restored by any means short of a limited wish, wish, or miracle	Craft Wondrous Item, darkvision, light; Cost 10,000 gp
Muleback Cords	faint transmutation	3rd	shoulders	1,000 gp	1/4 lb	These thick leather cords wrap around the wearer's biceps and shoulders; when worn, they make the muscles appear larger than normal. The wearer treats his Strength score as 8 higher than normal when determining his carrying capacity. This bonus does not apply to combat, breaking items, or any other Strength-related rolls except the amount of equipment or material the wearer can carry	Craft Wondrous Item, bull's strength; Cost 500 gp
Necklace of Ki Serenity	moderate enchantment	9th	neck	16,000 gp	-	This simple leather cord is tightly knotted at even intervals and gives its wearer a sense of inner calmness and connection with the larger world. The wearer gains a +4 bonus to his effective level when determining the size of his ki pool and the level-based effects of his ki pool ability (such as bypassing damage reduction)	Craft Wondrous Item, calm emotions, owl's wisdom; Cost 8,000 gp
Necromancer's Athame	strong necromancy	11th	-	20,000 gp	2 lbs	This pallid length of sharpened thighbone is carved into the shape of a dagger, but with tiny holes bored into it at equal intervals, almost like a flute. A necromancer who selects the athame as his bonded object can use it to spontaneously convert any prepared wizard necromancy spell into any other wizard necromancy spell he knows; the desired spell must be of the same level or lower than the prepared spell	Craft Wondrous Item, create undead, creator must be a necromancer; Cost 10,000 gp
Philter of Love	strong enchantment	15th	-	3,000 gp	-	This potent preparation causes a creature who drinks it to fall madly in love with the first creature he or she perceives after consuming it. The drinker's attitude toward that creature becomes helpful. If a romantic attraction is possible toward the first person viewed, the drinker falls in love with that person. Otherwise, the drinker's love is a platonic adoration. The effects of the philter are permanent unless removed by a break enchantment, dispel magic, limited wish, miracle, remove curse, or wish	Craft Wondrous Item, charm monster, permanency; Cost 1,500 gp
Robes of Arcane heritage	moderate necromancy	9th	body	16,000 gp	1 lb	These elegant, dark purple and royal blue robes are usually decorated with gold stitching depicting a sorcerer bloodline, though some indicate a family tree. The stitching changes to match the sorcerer bloodline of the wearer. The wearer treats her sorcerer level as 4 higher than normal for the purpose of determining what bloodline powers she can use and their effects	Craft Wondrous Item, speak with dead, creator must be a sorcerer; Cost 8,000 gp
Sash of the War Champion	moderate abjuration	9th	chest	4,000 gp	1 lb	This bright red strip of cloth, stitched with images of a cheering crowd throwing garlands toward a chariot, fits across the wearer's shoulders and then diagonally down his chest to reach his opposite hip. The wearer treats his fighter level as 4 higher than normal for the purpose of the armor training and bravery class features.	Craft Wondrous Item, cat's grace, remove fear; Cost 2,000 gp
Scabbard of Stanching	faint conjuration (healing)	5th	belt	5,000 gp	2 lbs	This fine, red leather sheath is decorated with gold filigree. It fits any bladed slashing weapon. While worn, a scabbard of stanching protects against bleed damage. Anytime the wearer suffers a bleed effect, the scabbard automatically stanches it. It has no effect on bleed damage from effects that require a DC 16 or higher caster level or Heal check	Craft Wondrous Item, cure light wounds; Cost 2,500 gp
Scabbard of Vigor	faint transmutation	5th	belt	1,800 gp	3 lbs	Once per day, as part of the action of drawing forth the weapon held by the scabbard, the wearer can order it to endow the weapon with an enhancement bonus on attack and damage rolls. The duration of the effect depends on the desired enhancement bonus for the weapon.  Bonus Duration +4 1 round +3 3 rounds +2 5 rounds +1 10 rounds 	Craft Wondrous Item, greater magic weapon; Cost 900 gp
Sheath of Bladestealth	faint illusion	5th	belt	5,000 gp	2 lbs	This mundane-looking but serviceable sheath fits any bladed slashing weapon, from a dagger to a greatsword. When a weapon is placed into the sheath of bladestealth, both it and the weapon become invisible (as the invisibility spell) until the weapon is drawn, at which point it and the sheath become visible again. The invisible sheathed weapon can still be detected by touch, but the bearer gains a +5 bonus on Sleight of Hand checks to conceal the weapon, and casual inspection does not reveal it at all. Other effects that detect or reveal invisible things work normally on the sheathed weapon	Craft Wondrous Item, invisibility; Cost 2,500 gp
Silver Smite Brace	moderate transmutation	9th	wrist	16,000 gp	1 lb	This heavy silver bracelet is etched with icons of purity, fidelity, chastity, and honor, and glows with a soft white light whenever its owner prays. The wearer of this bracelet treats her paladin level as 4 higher than normal for the purpose of her smite evil class feature	Craft Wondrous Item, align weapon, creator must be a paladin; Cost 8,000 gp
Sniper Goggles	faint divination	5th	eyes	20,000 gp	1 lb	The leather strap attached to these bulbous lenses allows their wearer to fit them to his head. The wearer of these goggles can make ranged sneak attacks from any distance instead of the normal 30 feet. When making ranged sneak attacks within 30 feet, the wearer gains a +2 circumstance bonus on each sneak attack damage die	Craft Wondrous Item, true strike; Cost 10,000 gp
Soul Soap	faint abjuration	1st	none	200 gp	2 lbs	This small bar of coarse gray soap has tiny pieces of ash, coal, or hard earth embedded in it, making the use of the soap uncomfortable and leaving anyone washed with it as dirty as before. Washing a creature with the soap requires water and takes 1 minute, after which the creature can attempt a new Will saving throw against any hostile ongoing mind-affecting effect currently affecting it. Unwilling creatures must be pinned or otherwise made helpless before they can be washed. The soap is sufficient to wash one creature	Craft Wondrous Item, resistance; Cost 100 gp
Torc of Lionheart	faint abjuration	3rd	neck	8,000 gp	1 lb	Each end of this heavy copper neckwear bears the image of a snarling lion. The wearer gains a +2 morale bonus on saving throws against fear. If the wearer is a barbarian of at least 12th level, she gains the fearless rage rage power. If she already has this power, she also becomes immune to the panicked condition while raging, and any panic-causing attack against her while she rages instead causes her to regain 1 round of rage.	Craft Wondrous Item, remove fear; Cost 4,000 gp
Vest of the Cockroach	faint necromancy	3rd	chest	16,000 gp	2 lbs	This padded and slightly bulky vest, made from dyed, red-brown cloth, causes its wearer to feel vaguely uncomfortable whenever lying prone. If the wearer is a rogue, she gains the resiliency rogue talent. If she already has this talent, activating the talent grants her 2 hit points per rogue level instead of 1.	Craft Wondrous Item, false life; Cost 8,000 gp
War Paint of the Terrible Visage	faint necromancy	1st	-	100 gp	-	This thimble-sized clay container of thick, moist face paint has enough material to paint streaks and whorls of any color on one creature's face. Once applied, the wearer can, as a swift action, make the paint rearrange itself into a ghastly mélange of colors, making his appearance momentarily disturbing and hideous. The wearer chooses one creature who can see his painted face within 30 feet to be affected by cause fear (DC 11). Once the paint is used in this fashion, it loses all magic and becomes normal face paint. Once applied, the wearer has 24 hours to use the paint's magic; otherwise it fades away	raft Wondrous Item, cause fear; Cost 50 gp
Amulet of Mighty Fists	faint evocation	5th	neck	4,000 gp (+1), 16,000 gp (+2), 36,000 gp (+3), 64,000 (+4), 100,000 gp (+5)	-	This amulet grants an enhancement bonus of +1 to +5 on attack and damage rolls with unarmed attacks and natural weapons.  Alternatively, this amulet can grant melee weapon special abilities, so long as they can be applied to unarmed attacks. See Table: Melee Weapon Special Abilities for a list of abilities. Special abilities count as additional bonuses for determining the market value of the item, but do not modify attack or damage bonuses. An amulet of mighty fists cannot have a modified bonus (enhancement bonus plus special ability bonus equivalents) higher than +5. An amulet of mighty fists does not need to have a +1 enhancement bonus to grant a melee weapon special ability.	Craft Wondrous Item, greater magic fang, creator's caster level must be at least three times the amulet's bonus, plus any requirements of the melee weapon special abilities; Cost 2,000 gp (+1), 8,000 gp (+2), 18,000 gp (+3), 32,000 (+4), 50,000 (+5)
Amulet of Natural Armor	faint transmutation	5th	neck	2,000 gp (+1), 8,000 gp (+2), 18,000 gp (+3), 32,000 gp (+4), or 50,000 gp (+5)	-	This amulet, usually crafted from bone or beast scales, toughens the wearer's body and flesh, giving him an enhancement bonus to his natural armor from +1 to +5, depending on the kind of amulet.	Craft Wondrous Item, barkskin, creator's caster level must be at least three times the amulet's bonus; Cost 1,000 gp (+1), 4,000 gp (+2), 9,000 gp (+3), 16,000 gp (+4), 25,000 gp (+5)
Amulet of the Planes	strong conjuration	15th	neck	120,000 gp	-	This device usually appears to be a black circular amulet, although any character looking closely at it sees a dark, moving swirl of color. The amulet allows its wearer to utilize plane shift. However, this is a difficult item to master. The user must make a DC 15Intelligence check in order to get the amulet to take her to the plane (and the specific location on that plane) that she wants. If she fails, the amulet transports her and all those traveling with her to a random location on that plane (01–60 on d%) or to a random plane (61–100)	Craft Wondrous Item, plane shift; Cost 60,000 gp
