Longbow	Ranged Weapon	Martial Weapon	75 gp	1d6	1d8	x3	100 ft.	3 lbs.	P	-
Arrows (20)	Ranged Weapon	Martial Weapon	1 gp	-	-	-	-	3 lbs.	-	-
Longbow, composite	Ranged Weapon	Martial Weapon	100 gp	1d6	1d8	x3	110 ft.	3 lbs.	P	-
Arrows (20)	Ranged Weapon	Martial Weapon	1 gp	-	-	-	-	3 lbs.	-	-
Shortbow	Ranged Weapon	Martial Weapon	30 gp	1d4	1d6	x3	60 ft.	2 lbs.	P	-
Arrows (20)	Ranged Weapon	Martial Weapon	1 gp	-	-	-	-	3 lbs.	-	-
Shortbow, composite	Ranged Weapon	Martial Weapon	75 gp	1d4	1d6	x3	70 ft.	2 lbs.	P	-
Arrows (20)	Ranged Weapon	Martial Weapon	1 gp	-	-	-	-	3 lbs.	-	-
Kama	Light Melee Weapon	Exotic Weapon	2 gp	1d4	1d6	x2	-	2 lbs.	S	monk, trip
Nunchaku	Light Melee Weapon	Exotic Weapon	2 gp	1d4	1d6	x2	-	2 lbs.	B	disarm, monk
Sai	Light Melee Weapon	Exotic Weapon	1 gp	1d3	1d4	x2	-	1 lb.	B	disarm, monk
Siangham	Light Melee Weapon	Exotic Weapon	3 gp	1d4	1d6	x2	-	1 lb.	P	monk
Sword, bastard	One-Handed Melee Weapon	Exotic Weapon	35 gp	1d8	1d10	19-20/x2	-	6 lbs.	S	-
Waraxe, dwarven	One-Handed Melee Weapon	Exotic Weapon	30 gp	1d8	1d10	x3	-	8 lbs.	S	-
Whip	One-Handed Melee Weapon	Exotic Weapon	1 gp	1d2	1d3	x2	-	2 lbs.	S	disarm, nonlethal, reach, trip
Axe, orc double	Two-Handed Melee Weapon	Exotic Weapon	60 gp	1d6/1d6	1d8/1d8	x3	-	15 lbs.	S	double
Chain, spiked	Two-Handed Melee Weapon	Exotic Weapon	25 gp	1d6	2d4	x2	-	10 lbs.	P	disarm, trip
Curve blade, elven	Two-Handed Melee Weapon	Exotic Weapon	80 gp	1d8	1d10	18-20x2	-	7 lbs.	S	-
Flail, dire	Two-Handed Melee Weapon	Exotic Weapon	90 gp	1d6/1d6	1d8/1d8	x2	-	10 lbs.	B	disarm, double, trip
Hammer, gnome hooked	Two-Handed Melee Weapon	Exotic Weapon	20 gp	1d6/1d4	1d8/1d6	x3/x4	-	6 lbs.	B or P	double, trip
Sword, two-bladed	Two-Handed Melee Weapon	Exotic Weapon	100 gp	1d6/1d6	1d8/1d8	19-20/x2	-	10 lbs.	S	double
Urgrosh, dwarven	Two-Handed Melee Weapon	Exotic Weapon	50 gp	1d6/1d4	1d8/1d6	x3	-	12 lbs.	P or S	brace, double
Bolas	Ranged Weapon	Exotic Weapon	5 gp	1d3	1d4	x2	10 ft.	2 lbs.	B	nonlethal, trip
Crossbow, hand	Ranged Weapon	Exotic Weapon	100 gp	1d3	1d4	19-20/x2	30 ft.	2 lbs.	P	-
Bolts (10)	Ranged Weapon	Exotic Weapon	1 gp	-	-	-	-	1 lb.	-	-
Crossbow, repeating heavy	Ranged Weapon	Exotic Weapon	400 gp	1d8	1d10	19-20/x2	120 ft.	12 lbs.	P	-
Bolts (5)	Ranged Weapon	Exotic Weapon	1 gp	-	-	-	-	1 lb.	-	-
Crossbow, repeating light	Ranged Weapon	Exotic Weapon	250 gp	1d6	1d8	19-20/x2	80 ft.	6 lbs.	P	-
Bolts (5)	Ranged Weapon	Exotic Weapon	1 gp	-	-	-	-	1 lb.	-	-
Net	Ranged Weapon	Exotic Weapon	20 gp	-	-	-	10 ft.	6 lbs.	-	-
Shuriken (5)	Ranged Weapon	Exotic Weapon	1 gp	1	1d2	x2	10 ft.	1/2 lb.	P	monk
Sling staff, halfling	Ranged Weapon	Exotic Weapon	20 gp	1d6	1d8	x3	80 ft.	3 lbs.	B	-
Bullets, sling (10)	Ranged Weapon	Exotic Weapon	1 sp	-	-	-	-	5 lbs.	-	-
