Name	Aura	Caster Level	Slot	Weight	Description	Construction
Gauntlets of Fumbling	moderate transmutation	7th	hands	2 lbs	these gauntlets perform according to their appearance until the wearer finds herself under attack or in a life-and-death situation. At that time, the curse is activated. The wearer becomes fumble-fingered, with a 50% chance each round of dropping anything held in either hand. The gauntlets also lowerDexterity by 2 points. Once the curse is activated, the gloves can be removed only by means of a remove curse spell, a wish, or a miracle.	gauntlet of rust, gloves of arrow snatching, glove of storing, gloves of swimming and climbing
Helm of Opposite Alignment	strong transmutation	12th	head	3 lbs	When placed upon the head, this item's curse immediately takes effect (Will DC 15 negates). On a failed save, the alignment of the wearer is radically altered to an alignment as different as possible from the former alignment—good to evil, chaotic to lawful, neutral to some extreme commitment (LE, LG, CE, or CG). Alteration in alignment is mental as well as moral, and the individual changed by the magic thoroughly enjoys his new outlook. A character who succeeds on his save can continue to wear the helmet without suffering the effect of the curse, but if he takes it off and later puts it on again, another save is required.  Only a wish or a miracle can restore a character's former alignment, and the affected individual does not make any attempt to return to the former alignment. In fact, he views the prospect with horror and avoids it in any way possible. If a character of a class with an alignment requirement is affected, an atonement spell is needed as well if the curse is to be obliterated. When a helm of opposite alignment has functioned once, it loses its magical properties.	hat of disguise, helm of comprehend languages and read magic, helm of telepathy
Incense of Obsession	moderate enchantment	6th	-	-	These blocks of incense appear to be incense of meditation. If meditation is conducted while incense of obsession is burning, the user becomes totally confident that her spell ability is superior due to the magic incense. She uses her spells at every opportunity, even when not needed or useless. The user remains obsessed with her abilities and spells until all have been used or cast, or until 24 hours have elapsed.	ncense of meditation
Mace of Blood	moderate abjuration	8th	-	8 lbs	This +3 heavy mace must be coated in blood every day, or else its bonus fades away until the mace is coated again. The character using this mace must make a DC 13 Will save every day it is within his possession or become chaotic evil.	+3 heavy mace
Medallion of Thought Projection	moderate divination	7th	neck	-	This device seems like a medallion of thoughts, even down to the range at which it functions, except that the thoughts overheard are muffled and distorted, requiring a DC 15 Will save to sort them out. However, while the user thinks she is picking up the thoughts of others, all she is really hearing are figments created by the medallion itself. These illusory thoughts always seem plausible and thus can seriously mislead any who rely upon them. What's worse, unknown to her, the cursed medallion actually broadcasts her thoughts to creatures in the path of the beam, thus alerting them to her presence.	medallion of thoughts
Necklace of Strangulation	strong conjuration	18th	neck	-	A necklace of strangulation appears to be a wondrous piece of magical jewelry. When placed on the neck, the necklace immediately tightens, dealing 6 points of damage per round. It cannot be removed by any means short of a limited wish, wish, or miracle and remains clasped around the victim's throat even after his death. Only when he has decayed to a dry skeleton (after approximately 1 month) does the necklace loosen, ready for another victim.	necklace of adaptation, necklace of fireballs, periapt of health, periapt of proof against poison, periapt of wound closure
Net of Snaring	moderate evocation	8th	-	6 lbs	This net provides a +3 bonus on attack rolls but can only be used underwater. Underwater, it can be commanded to shoot forth up to 30 feet to trap a creature. If thrown on land, it changes course to target the creature that threw it.	+3 net
Periapt of Foul Rotting	moderate abjuration	10th	neck	-	This engraved gem appears to be of little value. If any character keeps the periapt in her possession for more than 24 hours, she contracts a terrible rotting affliction that permanently drains 1 point of Dexterity, Constitution, and Charisma every week. The periapt (and the affliction) can be removed only by application of a remove curse spell followed by a cure disease and then a heal, miracle, limited wish, or wish spell. The rotting can also be countered by crushing a periapt of health and sprinkling its dust upon the afflicted character (a full-round action), whereupon the periapt of foul rotting likewise crumbles to dust.	periapt of health, periapt of proof against poison, periapt of wound closure
Poisonous Cloakstrong abjuration	strong abjuration	15th	sholders	1 lb	This cloak is usually made of a wool, although it can be made of leather. A detect poison spell can reveal the presence of poison in the cloak's fabric. The garment can be handled without harm, but as soon as it is actually donned, the wearer takes 4d6 points of Constitution damage unless she succeeds on a DC 28 Fortitude save.  Once donned, a poisonous cloak can be removed only with a remove curse spell; doing this destroys the magical property of the cloak. If a neutralize poison spell is then used, it is possible to revive a dead victim with a raise dead or resurrection spell.	cloak of arachnida, cloak of the bat, cloak of etherealness, cloak of resistance +5, major cloak of displacement
Potion of Poison	strong conjuration	12th	-	-	This potion has lost its beneficial abilities and become a potent poison. This poison deals 1d3 Constitution damage per round for 6 rounds. A poisoned creature can make a DC 14 Fortitude save each round to negate the damage and end the affliction.	any potion
Robe of Powerlessness	strong transmutation	13th	body	1 lb	A robe of powerlessness appears to be a magic robe of another sort. As soon as a character dons this garment, she takes a –10 penalty to Strength, as well as to Intelligence, Wisdom, or Charisma, forgetting spells and magic knowledge accordingly. If the character is a spellcaster, the robe targets the character's primary spellcasting score, otherwise it targets Intelligence. The robe can be removed easily, but in order to restore mind and body, the character must receive a remove curse spell followed by heal.	robe of the archmagi, robe of blending, robe of bones, robe of eyes, robe of scintillating colors, robe of stars, robe of useful items
Robe of Vermin	strong abjuration	13th	body	1 lb	The wearer notices nothing unusual when the robe is donned, and it functions normally. However, as soon as he is in a situation requiring concentration and action against hostile opponents, the true nature of the garment is revealed: the wearer immediately suffers a multitude of bites from the insects that magically infest the garment. He must cease all other activities in order to scratch, shift the robe, and generally show signs of the extreme discomfort caused by the bites and movement of these pests.  The wearer takes a –5 penalty on initiative checks and a –2 penalty on all attack rolls, saves, and skill checks. If he tries to cast a spell, he must make a concentration check (DC 20 + spell level) or lose the spell.	robe of the archmagi, robe of blending, robe of bones, robe of eyes, robe of scintillating colors, robe of stars, robe of useful items
Ring of Clumsiness	strong transmutation	15th	ring	-	This ring operates exactly like a ring of feather falling. However, it also makes the wearer clumsy. She takes a –4 penalty to Dexterity and has a 20% chance of spell failure when trying to cast any arcane spell that has a somatic component. (This chance of spell failure stacks with other arcane spell failure chances.)	ring of feather falling
Scarab of Death	strong abjuration	19th	neck	-	If this small scarab brooch is held for more than 1 round or carried in a living creature's possessions for 1 minute, it changes into a horrible burrowing beetle-like creature. The thing tears through any leather or cloth, burrows into flesh, and reaches the victim's heart in 1 round, causing death. A DC 25Reflex save allows the wearer to tear the scarab away before it burrows out of sight, but he still takes 3d6 points of damage. The beetle then returns to its scarab form. Placing the scarab in a container of wood, ceramic, bone, ivory, or metal prevents it from coming to life and allows for long-term storage of the item.	amulet of mighty fists, amulet of natural armor, amulet of the planes, amulet of proof against detection and location, brooch of shielding, golembane scarab, scarab of protection
Spear, Cursed Backbiter	moderate evocation	10th	-	-	This is a +2 shortspear, but each time it is used in melee against a foe and the attack roll is a natural 1, it damages its wielder instead of her intended target. When the curse takes effect, the spear curls around to strike its wielder in the back, automatically dealing the damage to the wielder. The curse even functions when the spear is hurled, and in such a case the damage to the hurler is doubled.	+2 shortspear, any magic weapon
Stone of Weight (Loadstone)	faint transmutation	5th	-	1 lb	This dark, polished stone reduces the possessor's base land speed to half of normal. Once picked up, the stone cannot be disposed of by any nonmagical means—if it is thrown away or smashed, it reappears somewhere upon the possessor's person. If a remove curse spell is cast upon a loadstone, the item may be discarded normally and no longer haunts the individual.	ioun stone, stone of alarm, stone of controlling earth elementals, stone of good luck
Sword, -2 Cursed	strong evocation	15th	-	4 lbs	This longsword performs well against targets in practice, but when used in combat its wielder takes a –2 penalty on attack rolls.  All damage dealt is also reduced by 2 points, but never below a minimum of 1 point of damage on any successful hit. The sword always forces that character to employ it rather than another weapon. The sword's owner automatically draws it and fights with it even when she meant to draw or ready some other weapon.	+2 longsword, any magic weapon
Sword, Berserking	moderate evocation	8th	-	12 lbs	This sword appears to be a +2 greatsword. However, whenever it is used in battle, its wielder goes berserk (gaining all the benefits and drawbacks of the barbarian's rage ability). He attacks the nearest creature and continues to fight until unconscious or dead or until no living thing remains within 30 feet. Although many see this sword as a cursed object, others see it as a boon.	+2 greatsword, any magic weapon
Vacuous Grimoire	strong enchantment	20th	-	2 lbs	A book of this sort looks like a normal one on some mildly interesting topic. Any character who opens the work and reads so much as a single word therein must make two DC 15 Will saves. The first is to determine if the reader takes 1 point of permanent Intelligence and Charisma drain. The second is to find out if the reader takes 2 points of permanent Wisdom drain. To destroy the book, it must be burned while remove curse is being cast. If the grimoire is placed with other books, its appearance instantly alters to conform to the look of those other works.	blessed book, manual of bodily health, manual of gainful exercise, manual of quickness of action, tome of clear thoughts, tome of leadership and influence, tome of understanding
