Level	Base Attack Bonus	Fort Save	Ref Save	Will Save	Special	Spells per Day									
4th-Level Advancement: Size Medium; Attackbite (1d6 plus trip), 2 claws (1d3); Ability ScoresStr +4, Dex –2, Con +2; Special Qualities sprint.															
															
Crocodile (Alligator)															
Starting Statistics: Size Small; Speed 20 ft., swim 30 ft.; AC +4 natural armor; Attack bite (1d6);Ability Scores Str 15, Dex 14, Con 15, Int 1, Wis12, Cha 2; Special Qualities hold breath, low-light vision.															
4th-Level Advancement: Size Medium; Attackbite (1d8) or tail slap (1d12); Ability Scores Str+4, Dex –2, Con +2; Special Attacks death roll, grab, sprint.															
															
Dinosaur (Deinonychus, Velociraptor)															
Starting Statistics: Size Small; Speed 60 ft.; AC+1 natural armor; Attack 2 talons (1d6), bite (1d4); Ability Scores Str 11, Dex 17, Con 17, Int2, Wis 12, Cha 14; Special Qualities low-light vision, scent.															
7th-Level Advancement: Size Medium; AC +2 natural armor; Attack 2 talons (1d8), bite (1d6), 2 claws (1d4) Ability Scores Str +4, Dex –2, Con +2;Special Attacks pounce.															
															
Dog															
Starting Statistics: Size Small; Speed 40 ft.; AC+2 natural armor; Attack bite (1d4); Ability Scores Str 13, Dex 17, Con 15, Int 2, Wis 12, Cha6; Special Qualities low-light vision, scent.															
4th-Level Advancement: Size Medium; Attackbite (1d6); Ability Scores Str +4, Dex –2, Con +2.															
															
Horse															
Starting Statistics: Size Large; Speed 50 ft.; AC+4 natural armor; Attack bite (1d4), 2 hooves* (1d6); Ability Scores Str 16, Dex 13, Con 15, Int2, Wis 12, Cha 6; Special Qualities low-light vision, scent. *This is a secondary natural attack, see Combat for more information on how secondary attacks work.															
4th-Level Advancement: Ability Scores Str +2,Con +2; Special Qualities combat trained (see the Handle Animal skill).															
															
Pony															
Starting Statistics: Size Medium; Speed 40 ft.; AC+2 natural armor; Attack 2 hooves (1d3); Ability Scores Str 13, Dex 13, Con 12, Int 2, Wis 11, Cha4; Special Qualities low-light vision, scent.															
4th-Level Advancement: Ability Scores Str +2,Con +2; Special Qualities combat trained (see the Handle Animal skill).															
															
Shark															
Starting Statistics: Size Small; Speed swim 60 ft.;AC +4 natural armor; Attack bite (1d4); Ability Scores Str 13, Dex 15, Con 15, Int 1, Wis 12, Cha2; Special Qualities low-light vision, scent.															
4th-Level Advancement: Size Medium; Attackbite (1d6); Ability Scores Str +4, Dex –2, Con +2;Special Qualities blindsense.															
															
Snake, Constrictor															
Starting Statistics: Size Medium; Speed 20 ft., climb 20 ft., swim 20 ft.; AC +2 natural armor;Attack bite (1d3); Ability Scores Str 15, Dex 17,Con 13, Int 1, Wis 12, Cha 2; Special Attacksgrab; Special Qualities low-light vision, scent.															
4th-Level Advancement: Size Large; AC +1 natural armor; Attack bite (1d4); Ability ScoresStr +8, Dex –2, Con +4; Special Attacks constrict 1d4.															
															
Snake, Viper															
Starting Statistics: Size Small; Speed 20 ft., climb 20 ft., swim 20 ft.; AC +2 natural armor; Attackbite (1d3 plus poison); Ability Scores Str 8, Dex17, Con 11, Int 1, Wis 12, Cha 2; Special Attackspoison (Frequency 1 round (6), Effect 1 Condamage, Cure 1 save, Con-based DC); Special Qualities low-light vision, scent.															
4th-Level Advancement: Size Medium; Attackbite (1d4 plus poison); Ability Scores Str +4, Dex–2, Con +2.															
															
Wolf															
Starting Statistics: Size Medium; Speed 50 ft.; AC+2 natural armor; Attack bite (1d6 plus trip);Ability Scores Str 13, Dex 15, Con 15, Int 2, Wis12, Cha 6; Special Qualities low-light vision,scent.															
7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8 plus trip); Ability Scores Str +8, Dex –2, Con +4.															
